time_days,gas_rate_m3_day,cumulative_gas_m3,oil_rate_m3_day,cumulative_oil_m3,field_pressure_bar,water_cut_fraction,water_injection_rate_m3_day,cumulative_injected_water_m3,water_rate_m3_day,cumulative_water_m3
520.0,293518.0,158576736.0,70.14051818847656,33490.37890625,288.004638671875,0.004265260882675648,1446.0413818359375,779864.8125,0.30044910311698914,127.18336486816406
527.5147705078125,291440.71875,160766848.0,70.02726745605469,34016.6171875,287.6849670410156,0.0042917076498270035,1257.853271484375,789317.3125,0.3018319308757782,129.45155334472656
540.0,280908.625,164274064.0,68.12056732177734,34867.1171875,286.5001525878906,0.00433675292879343,1052.103515625,802453.0625,0.2967088222503662,133.15603637695312
560.0,252610.671875,169326272.0,62.090843200683594,36108.93359375,283.927001953125,0.0044094654731452465,807.3590087890625,818600.25,0.27500003576278687,138.65603637695312
580.0,222082.796875,173767920.0,55.23098373413086,37213.5546875,281.5202331542969,0.004481264855712652,674.74951171875,832095.25,0.24861878156661987,143.62841796875
600.0,194233.34375,177652592.0,48.791141510009766,38189.37890625,279.51025390625,0.004551343619823456,597.189453125,844039.0,0.223080575466156,148.09002685546875
620.0,170734.296875,181067280.0,43.2584114074707,39054.546875,277.7946472167969,0.0046195220202207565,524.8802490234375,854536.625,0.2007605880498886,152.10523986816406
640.0,151127.140625,184089824.0,38.5724983215332,39825.99609375,276.36639404296875,0.004685715306550264,476.60772705078125,864068.8125,0.18159063160419464,155.737060546875
660.0,135265.0625,186795120.0,34.74507522583008,40520.8984375,275.2029113769531,0.004750087391585112,441.8030090332031,872904.875,0.1658298373222351,159.05364990234375
680.0,122556.7109375,189246256.0,31.66175651550293,41154.1328125,274.2835693359375,0.0048127928748726845,418.7030334472656,881278.9375,0.15311841666698456,162.11602783203125
700.0,112186.484375,191489984.0,29.13520050048828,41736.8359375,273.5523376464844,0.004874043632298708,401.04071044921875,889299.75,0.14270177483558655,164.97006225585938
720.0,103725.5234375,193564496.0,27.069284439086914,42278.22265625,272.9684143066406,0.004934024531394243,386.8553161621094,897036.8125,0.13422277569770813,167.65451049804688
740.0,96773.2109375,195499968.0,25.371488571166992,42785.65234375,272.4996032714844,0.0049928948283195496,374.9867248535156,904536.5625,0.1273128241300583,170.20077514648438
760.0,91095.953125,197321888.0,23.988719940185547,43265.42578125,272.1246337890625,0.00505079235881567,364.8310241699219,911833.1875,0.12177710980176926,172.6363067626953
780.0,86437.4375,199050624.0,22.858118057250977,43722.58984375,271.8252868652344,0.005107628181576729,356.07562255859375,918954.6875,0.11735014617443085,174.98330688476562
800.0,82571.0390625,200702048.0,21.927350997924805,44161.13671875,271.5857849121094,0.005163760855793953,348.5418701171875,925925.5625,0.1138153150677681,177.25961303710938
820.0,79293.8125,202287920.0,21.145912170410156,44584.0546875,271.39453125,0.005219281185418367,342.0718078613281,932767.0,0.11094550788402557,179.47853088378906
840.0,76496.4609375,203817856.0,20.485015869140625,44993.75390625,271.2442626953125,0.005274266004562378,336.5499572753906,939497.9375,0.10861629247665405,181.65084838867188
860.0,74161.59375,205301088.0,19.942792892456055,45392.609375,271.1273193359375,0.005328790750354528,331.8684997558594,946135.3125,0.10684030503034592,183.78765869140625
